program_name|program_slug|course_name|course_number|course_rubric|requirement|component
Accounting, B.B.A.|accounting-b-b-a| Financial Reporting Frameworks|3366|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Intermediate Accounting I|3367|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Intermediate Accounting II|3368|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Accounting Information Systems|3371|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Cost Accounting|3377|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Federal Income Tax-Individual|4331|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Financial Statement Auditing|4335|ACCT|Accounting Major Coursework (36 Credit Hours)|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| First Year Writing I|1303|ENGL|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| First Year Writing II|1304|ENGL|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Connecting Bauer to Business|3302|GENB|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Psychology|1300|PSYC|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Sociology|1300|SOC|UH Core Courses & College Requirements|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Computers and Management Information Systems|3300|MIS|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Finite Math with Applications|1313|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Calculus for Business and the Life Sciences|1314|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Calculus I|1431|MATH|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a|Financial|2331|ACCT|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Accounting Principles 2 -Managerial|2332|ACCT|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Microeconomic Principles|2304|ECON|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Macroeconomic Principles|2305|ECON|Pre-Business Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Statistical Analysis for Business Applications I|3331|STAT|Statistics 3331 - Statistical Analysis for Business Applications|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The United States To 1877|1376|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The U S To 1877|1377|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The U S Since 1877|1378|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| The United States Since 1877|1379|HIST|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| U.S. and Texas Constitution and Politics|1336|POLS|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| U.S. Government: Congress, President, and Courts|1337|POLS|Additional UH Core Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Service and Manufacturing Operations|3301|SCM|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Principles of Financial Management|3332|FINA|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Organizational Behavior and Management|3335|MANA|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Marketing|3336|MARK|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Professional Selling|3337|MARK|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Business and Professional Communication|3356|COMM|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Introduction to Global Business|3354|INTB|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Global Environment of Business|3355|INTB|Advanced-Level Business Required Courses|Additional Requirements
Accounting, B.B.A.|accounting-b-b-a| Business Law and Ethics|4350|GENB|Advanced-Level Business Required Courses|Additional Requirements
Advertising, B.A.|advertising-b-a| Media and Society|1301|COMM|Jack J. Valenti School Requirements (12 hours)|Additional Requirements
Advertising, B.A.|advertising-b-a| Introduction to Communication Theory|1302|COMM|Jack J. Valenti School Requirements (12 hours)|Additional Requirements
Advertising, B.A.|advertising-b-a| Communication Research Methods|2300|COMM|Jack J. Valenti School Requirements (12 hours)|Additional Requirements
Advertising, B.A.|advertising-b-a| Communication Law & Ethics|4303|COMM|Jack J. Valenti School Requirements (12 hours)|Additional Requirements
Advertising, B.A.|advertising-b-a| Writing for Print and Digital Media|2310|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Principles of Integrated Communication|3360|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Advertising Copywriting|3361|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Media Planning & Placement|4360|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Advertising Account Planning|4366|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Advertising Campaign Competition|4361|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Integrated Communication Campaigns|4363|COMM|Advertising Requirements|Additional Requirements
Advertising, B.A.|advertising-b-a| Fundamentals of Public Speaking|1332|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Fundamentals of Media Production|2320|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Editing for Print and Digital Media|3311|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Multimedia Production I|3323|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Graphics Applications|3326|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Desktop Publishing|3327|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Effective Meeting Management|3332|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Advanced Public Speaking|3339|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Information & Communication Technologies I|3353|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Business and Professional Communication|3356|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Leadership Communication & Organizations|3358|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Advertising Sales|3362|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Global & Multicultural Advertising|3363|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Principles of Public Relations|3368|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Strategic Social Media|3374|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Persuasion|4331|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Information and Communication Technologies II|4353|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Integrated Communication Campaigns|4363|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Digital Public Relations and Advertising|4365|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Public Relations Campaigns|4368|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Advertising Portfolio|4369|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Professional Internship|4392|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Selected Topics Communication|4397|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Independent Study|4398|COMM|Required Electives: 9 hours (three courses) from:|Additional Requirements
Advertising, B.A.|advertising-b-a| Introduction to Marketing|3336|MARK|Required Electives: 9 hours (three courses) from:|Additional Requirements
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Intermediate American Sign Language I|2301|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Intermediate American Sign Language II|2302|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Introduction to American Sign Language Interpreting|2333|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Multiculturalism & Diversity in ASL Interpreting|2335|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Consecutive Interpreting and Translation|3330|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Interactive Interpreting I|3333|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Interactive Interpreting II|3334|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Advanced American Sign Language|3360|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Advanced Interpreting Techniques and Skills in ASL/English|4335|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| American Sign Language Transliteration and Educational Interpreting|4346|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Linguistics of American Sign Language|4368|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Selected Topics in American Sign Language Interpreting|4397|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a|Fieldwork|4489|ASLI|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
American Sign Language Interpreting, B.A.|american-sign-language-interpreting-b-a| Deaf Culture|3301|COMD|The following 43 credits constitute the required courses for the major in ASLI:|General Requirements for the Bachelor of Arts in ASL Interpreter Program
Anthropology, B.A.|anthropology-b-a| Logic I|1321|PHIL|Mathematics/Reasoning:|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Western Civilization to 1450|2351|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Western Civilization From 1450|2353|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Philosophy|1301|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Ethics|1305|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Ancient and Medieval Political Thought|3340|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Foundations of Modern Politics|3341|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Greek Political Thought|4346|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Microeconomic Principles|2304|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Macroeconomic Principles|2305|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| World Realms|2340|GEOG|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Political Theory|3310|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Comparative Politics|3311|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Psychology|1300|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Social Psychology|2380|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Sociology|1300|SOC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.A.|anthropology-b-a| Foundations in American Political Thought|3349|POLS|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Law and Society|3354|POLS|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Constitutional Law|3356|POLS|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Constitutional Law: Civil Liberties|3357|POLS|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Legislative Processes|3364|POLS|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Abnormal Psychology|4321|PSYC|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| The Sociology of Deviance|3312|SOC|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Criminology|3313|SOC|College Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Cultural Anthropology|2302|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Language and Culture|2304|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Psychological Anthropology|3305|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Anthropology of Women|3347|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Anthropology of Religion|3348|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Theories of Culture|4310|ANTH|Anthropology:|Program Requirements
Anthropology, B.A.|anthropology-b-a| Advanced Composition|3340|ENGL|Electives|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Law, Society, and Morality|3375|PHIL|Electives|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Argumentation and Debate|3337|COMM|Electives|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Cultural Anthropology|2302|ANTH|Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Physical Anthropology|2301|ANTH|Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Archaeology|2303|ANTH|Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Introduction to Language and Culture|2304|ANTH|Requirements|Additional Requirements
Anthropology, B.A.|anthropology-b-a| Theories of Culture|4310|ANTH|Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Logic I|1321|PHIL|Mathematics/Reasoning:|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Western Civilization to 1450|2351|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Western Civilization From 1450|2353|HIST|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Philosophy|1301|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Ethics|1305|PHIL|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Ancient and Medieval Political Thought|3340|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Foundations of Modern Politics|3341|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Greek Political Thought|4346|POLS|Language, Philosophy & Culture|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Microeconomic Principles|2304|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Macroeconomic Principles|2305|ECON|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| World Realms|2340|GEOG|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Political Theory|3310|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Comparative Politics|3311|POLS|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Psychology|1300|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Social Psychology|2380|PSYC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Sociology|1300|SOC|Social/Behavioral Sciences|Core Curriculum Requirements
Anthropology, B.S.|anthropology-b-s| Foundations in American Political Thought|3349|POLS|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Law and Society|3354|POLS|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Constitutional Law|3356|POLS|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Constitutional Law: Civil Liberties|3357|POLS|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Legislative Processes|3364|POLS|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Abnormal Psychology|4321|PSYC|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| The Sociology of Deviance|3312|SOC|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Criminology|3313|SOC|College Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Cultural Anthropology|2302|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Language and Culture|2304|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Psychological Anthropology|3305|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Anthropology of Women|3347|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Anthropology of Religion|3348|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Theories of Culture|4310|ANTH|Anthropology:|Program Requirements
Anthropology, B.S.|anthropology-b-s| Advanced Composition|3340|ENGL|Electives|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Law, Society, and Morality|3375|PHIL|Electives|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Argumentation and Debate|3337|COMM|Electives|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Cultural Anthropology|2302|ANTH|Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Physical Anthropology|2301|ANTH|Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Archaeology|2303|ANTH|Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Introduction to Language and Culture|2304|ANTH|Requirements|Additional Requirements
Anthropology, B.S.|anthropology-b-s| Theories of Culture|4310|ANTH|Requirements|Additional Requirements
Applied Music, B.M.|applied-music-b-m| Performance Pedagogy|4250|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Advanced Performance Pedagogy|4251|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Internship in Piano Teaching I|4160|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Internship in Piano Teaching II|4161|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Aural Skills I|1170|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Aural Skills II|1171|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Aural Skills III|2170|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Aural Skills IV|2171|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Theory I|1310|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Theory II|1311|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Collaborative Keyboard|2188|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Theory III|2210|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Techniques of Music Since 1900|2214|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Music and Culture|2361|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| History of Music I|2362|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| History of Music II|3363|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| History of Music III|3364|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Introduction to Large Forms|3215|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Analysis|3216|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Keyboard Harmony|3261|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Chamber Music|4100|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Independent Study|4198|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Choral Conducting I|4220|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Instrumental Conducting I|4230|MUSI|Requirements|Piano Pedagogy
Applied Music, B.M.|applied-music-b-m| Aural Skills I|1170|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills II|1171|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills III|2170|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills IV|2171|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Theory I|1310|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Theory II|1311|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Collaborative Keyboard|2188|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Theory III|2210|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Techniques of Music Since 1900|2214|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Music and Culture|2361|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| History of Music I|2362|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| History of Music II|3363|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| History of Music III|3364|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Introduction to Large Forms|3215|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Analysis|3216|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Keyboard Harmony|3261|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Chamber Music|4100|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Independent Study|4198|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Choral Conducting I|4220|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Instrumental Conducting I|4230|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Performance Pedagogy|4250|MUSI|Requirements|Piano Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills I|1170|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills II|1171|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills III|2170|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Aural Skills IV|2171|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Theory I|1310|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Theory II|1311|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Theory III|2210|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Techniques of Music Since 1900|2214|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Music and Culture|2361|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| History of Music I|2362|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| History of Music II|3363|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| History of Music III|3364|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Advanced Sight Reading for Keyboard Players|3160|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Introduction to Large Forms|3215|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Analysis|3216|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Keyboard Harmony|3261|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Choral Conducting I|4220|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Performance Pedagogy|4250|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Independent Study|4298|MUSI|Requirements|Organ Performance
Applied Music, B.M.|applied-music-b-m| Group Piano I|1160|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
Applied Music, B.M.|applied-music-b-m| Group Piano II|1161|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
Applied Music, B.M.|applied-music-b-m| Aural Skills I|1170|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
Applied Music, B.M.|applied-music-b-m| Aural Skills II|1171|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
Applied Music, B.M.|applied-music-b-m| Aural Skills III|2170|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
Applied Music, B.M.|applied-music-b-m| Aural Skills IV|2171|MUSI|Requirements|Instrumental Performance (Winds, Brass, Strings, Percussion)
