Common Course Title,Common Course Prefix,Common Course Number,Abilene Christian University,Alvin Community College,Amarillo College,Angelina College,Angelo State University,Austin Community College,Baylor University,Blinn College,Brazosport College,Central Texas College,Cisco College,Clarendon College,Coastal Bend College,College of the Mainland,Collin County Community College District,Dallas Baptist University,Dallas County Community College District,DCCCD Brookhaven College,DCCCD Cedar Valley College,DCCCD Eastfield College,DCCCD El Centro College,DCCCD Mountain View College,DCCCD North Lake College,DCCCD Richland College,Del Mar College,East Texas Baptist University,El Paso Community College District,Frank Phillips College,Galveston College,Grayson College,Hardin-Simmons University,Hill College,Houston Baptist University,Houston Community College System,Howard College,Howard Payne University,Huston-Tillotson University,Jacksonville College,Kilgore College,Lamar Institute of Technology-Beaumont,Lamar State College- Port Arthur,Lamar State College-Orange,Lamar University,Laredo Community College,Lee College,LeTourneau University,Lon Morris College (Closed in 2012),Lone Star College System,Lone Star College System-CyFair,Lone Star College System-Kingwood,Lone Star College System-Montgomery,Lone Star College System-North Harris,Lone Star College System-Tomball,McLennan Community College,McMurry University,Midland College,Midwestern State University,Navarro College,North Central Texas College,Northeast Lakeview College,Northeast Texas Community College,Northwest Vista College,Odessa College,Our Lady of the Lake University,Palo Alto College,Panola College,Paris Junior College,Prairie View A&M University,Ranger College,Sam Houston State University,San Antonio College,San Jacinto College Central,San Jacinto College District,San Jacinto College North,San Jacinto College South,South Plains College,South Texas College,Southern Methodist University,Southwest Collegiate Institute for the Deaf,Southwest Texas Junior College,Southwestern University,St. Mary's University,St. Philip's College,Stephen F. Austin State University,Sul Ross State University,Tarleton State University,Tarrant County College District,Temple College,Texarkana College,Texas A&M International University,Texas A&M University,Texas A&M University-Commerce,Texas A&M University-Corpus Christi,Texas A&M University-Galveston,Texas A&M University-Kingsville,Texas A&M University-Texarkana,Texas Southern University,Texas Southmost College,Texas State Technical College System,Texas State Technical College-Harlingen,Texas State Technical College-Marshall,Texas State Technical College-Waco,Texas State Technical College-West Texas,Texas State University,Texas Tech University,Texas Wesleyan University,Texas Woman's University,Trinity Valley Community College,Tyler Junior College,University of Houston,University of Houston-Clear Lake,University of Houston-Downtown,University of Houston-Victoria,University of Mary Hardin-Baylor,University of North Texas,University of North Texas at Dallas,University of St. Thomas,University of Texas - Rio Grande Valley,University of Texas at Arlington,University of Texas at Austin,University of Texas at Dallas,University of Texas at El Paso,University of Texas at San Antonio,University of Texas at Tyler,University of Texas Health Science Center at Houston,University of Texas Health Science Center at San Antonio,University of Texas of the Permian Basin,University of the Incarnate Word,Vernon College,Victoria College,Wayland Baptist University,Weatherford College,West Texas A&M University,Western Texas College,Wharton County Junior College,Wiley College
Principles of Financial Accounting,ACCT,2301,ACCT 210,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,,,,,,,,BA 611A,ACCT 2301,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2311,,ACCT 2301,ACCT 2301,ACCT 2301,ACC 2311,,,,ACCT 2301,,ACCT 2301,ACCT 2301,,,ACCT 2103,,,,,,,,ACCT 2301,ACCT 2310,ACCT 2301,ACCT 2143,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2311,ACCT 2301,,ACCT 2301,,ACCT 2301,ACCT 2301,ACCT 2301,,ACCT 2301,,,ACCT 2301,,,BUS 1301,ACCT 2301,ACC36 003,ES 1100,ACCT 2301,ACC 231,ACC 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACC 2301,ACCT 229,ACCT 221,ACCT 2301,ACCT 229,ACCT 2301,ACCT 2301,ACCT 231,ACCT 2301,,,,,,ACC 2361,ACCT 2300,ACC 2303,BUS 2043,,ACCT 2301,ACCT 2331,ACCT 2301,ACC 2301,,BACC 2311,ACCT 2010,ACCT 2010,ACCT 1341,ACCT 2301,ACCT 2301,ACC 311,ACCT 2301,ACCT 2301,ACC 2013,ACCT 2301,,,ACCT 2301,ACCT 2311,,ACCT 2301,ACCT 2305,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2301,ACCT 2311
Principles of Managerial Accounting,ACCT,2302,ACCT 211,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,,,,,,,,BA 611B,ACCT 2302,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2312,,ACCT 2303,ACCT 2302,ACCT 2302,ACC 2321,,,,ACCT 2302,,ACCT 2302,ACCT 2302,,,ACCT 2113,,,,,,,,ACCT 2302,,ACCT 2302,ACCT 2243,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2312,ACCT 2302,,ACCT 2302,,ACCT 2302,ACCT 2302,ACCT 2302,,ACCT 2302,,,ACCT 2302,,,BUS 1302,ACCT 2302,ACC36 003,AC 2320,ACCT 2302,ACC 232,ACC 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACC 2302,ACCT 230,ACCT 222,ACCT 2302,ACCT 230,ACCT 2302,ACCT 2302,ACCT 232,ACCT 2302,,ACCT 2302,,,,ACC 2362,ACCT 2301,ACC 2304,BUS 2053,,ACCT 2302,ACCT 2332,ACCT 2302,ACC 2302,,BACC 2312,ACCT 2020,ACCT 2020,ACCT 1342,ACCT 2302,ACCT 2302,ACC 312,ACCT 2302,ACCT 2302,ACC 2033,ACCT 2302,,,ACCT 2302,ACCT 2312,,ACCT 2302,ACCT 2306,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2302,ACCT 2322
Principles of Financial Accounting,ACCT,2401,ACCT 210,,,,,,,,ACCT 2401,,,,BUS 455,,,ACCT 2301,,,,,,,,,,,,,,,,ACCT 2401,,,ACCT 2401,,,ACCT 2401,ACCT 2401,,,,,ACCT 2401,ACCT 2401,,,ACCT 2401,,,,,,ACCT 2401,,,,,,,,,,,,BUA 440,,,,,,,,,,,ACCT 2401,,,ACCT 2401,ACC36 004,,,,,,,,,,ACCT 229,,,ACCT 229,,,,,,,,,,,ACCT 2300,,BUS 2043,ACCT 2401,,,,,,,,ACCT 2010,ACCT 1341,,,ACC 411,,,,,,,,,ACCT 2401,,,,,,,
Principles of Managerial Accounting,ACCT,2402,ACCT 211,,,,,,,,ACCT 2402,,,,BUS 456,,,ACCT 2302,,,,,,,,,,,,,,,,ACCT 2402,,,ACCT 2402,,,ACCT 2402,ACCT 2402,,,,,ACCT 2402,ACCT 2402,,,ACCT 2402,,,,,,ACCT 2402,,,,,,,,,,,,BUA 441,,,,,,,,,,,ACCT 2402,,,ACCT 2402,ACC36 004,,,,,,,,,,ACCT 230,,,ACCT 230,,,,,,,,,,,ACCT 2301,,BUS 2053,ACCT 2402,,,,,,,,ACCT 2020,ACCT 1342,,,ACC 412,,,,,,,,,ACCT 2402,,,,,,,
Horticulture (lab),AGRI,1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,HORT 202,,,HORT 202,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Introductory Animal Science (lab),AGRI,1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANSC 108,,,ANSC 108,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
The Agricultural Industry,AGRI,1131,,,,,,,,AGRI 1131,,AGRI 1131,AGRI 1131,AGRI 1131,,,,,,,,,,,,,,,,,,,,,,AGRI 1131,AGRI 1131,,,,,,,,,,,,,,,,,,,AGRI 1131,,,,AGRI 1131,AGRI 1131,,AGRI 1131,,,,AGRI 1131,,AGRI 1131,,,AGRI 1131,,,AGRI 1131,,,,,,,,,,,AGR 100,,,,,,,AGLS 101,,,AGLS 101,,,,,,,,,,AG 1110,,,,AGRI 1131,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 1131,,,AGRI 1131,,AGRI 1131,,
The Agricultural Industry,AGRI,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Agronomy,AGRI,1307,,,,,,,,AGRI 1307,,,AGRI 1307,AGRI 1307,,,,,,,,,,,,,,,,,,,,AGR 1307,,AGRI 1307,,,,AGRI 1407,,,,,,,,,,,,,,,,,,,,AGRI 1307,,,AGRI 1307,,,,AGRI 1307,AGRI 1307,,,AGRI 1307,AGRI 1307,,,,,,AGRI 1307,,,,AGRI 1307,,,,,,WSES 1305,,,,,SCSC 105,,,SCSC 105,,,,,,,,,,AG 2313,PSS 1321,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,PSES 1307,AGRI 1407,,
Computers in Agriculture,AGRI,1309,,,,,ASCI 1309,,,,,AGRI 1309,,,,,,,,,,,,,,,,,,,,,,AGR 1309,,AGRI 1309,AGRI 1309,,,AGRI 1309,,,,,,,,,,,,,,,,AGRI 1309,,,,,AGRI 1309,,,,AGRI 1309,,,AGRI 1309,AGRI 1309,,,AGRI 1309,,,AGRI 1309,,,AGRI 1309,,,,AGRI 1309,,,,,,AGRI 1309,,,,,,,,,,,,,,,,,,AG 2390,AGSC 2300,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,AGRI 1309,,
Dairy Science,AGRI,1311,,,,,,,,AGRI 1311,,,AGRI 1311,,,,,,,,,,,,,,,,,,,,,AGRI 1311,,AGRI 1311,AGRI 1311,,,,,,,,,,,,,,,,,,,AGRI 1311,,,,,,,,,,,,,AGRI 1311,,AGRI 1311,,,,,,,AGRI 1311,,,,,,,,,,AGRI 1311,,,,,DASC 202,,,DASC 202,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Horticulture,AGRI,1315,,,,,,,,AGRI 1315,,,AGRI 1315,,,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1415,,,,,,,,,,,,,,,,,,,,AGRI 1315,,,AGRI 1315,,,,AGRI 1315,AGRI 1315,,,,,,,AGRI 1315,,,,,,,AGRI 1315,,,,,,HORT 1301,,,,,HORT 201,,,HORT 201,PLSS 2315,,,,,,,,,AG 2379,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,AGRI 1315,
Introductory Animal Science,AGRI,1319,ANSC 111,,,,ASCI 1319,,,AGRI 1319,,,AGRI 1319,AGRI 1319,,,,,,,,,,,,,,,,,,,,AGRI 1309,,AGRI 1319,,,,AGRI 1419,,,,,,,,,,,,,,,,,,,,AGRI 1319,,,AGRI 1319,,,,AGRI 1319,AGRI 1319,,,AGRI 1319,AGRI 1319,,,AGRI 1319,,,AGRI 1319,,,,,,,,ANS 131,,,,,,,ANSC 107,,,ANSC 107,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,ANSC 1319,,,
Marketing of Agricultural Products,AGRI,1325,,,,,,,,AGRI 1325,,,AGRI 1325,AGRI 1325,,,,,,,,,,,,,,,,,,,,AGRI 1325,,AGRI 1325,AGRI 1325,,,AGRI 1325,,,,,,,,,,,,,,,,,,,,,AGRI 1325,,AGRI 1325,,AGRI 1325,,AGRI 1325,AGRI 1325,AGRI 1325,,AGRI 1325,,,,,,,AGRI 1325,,,,AGRI 1325,,,,,,AGRI 1325,,,,,,,,,,,,,,,,,,,,,,AGRI 1325,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 1325,,,,,AGRI 1325,,
Principles of Food Science,AGRI,1329,,,,,FSCI 1329,,,AGRI 1329,,,,AGRI 1329,,,,,,,,,,,,,,,,,,,,,,AGRI 1329,AGRI 1329,,,,,,,,,,,,,,,,,,,AGRI 1329,,,,,,,AGRI 1329,,,,AGRI 1325,AGRI 1329,AGRI 1329,,,,,,,,,AGRI 1329,,,,AGRI 1329,,,,,,,,,,,FSTC 201,FDSC 210,,FSTC 201,,,,,,,,,,,FDSC 2300,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,AGRI 1329,,AGRI 1329,
Agronomy,AGRI,1407,,,,,,,,AGRI 1407,,AGRI 1407,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1407,,,,AGRI 1407,,,,,,,,,,,,,,,AGRI 1407,,,,,AGRI 1407,,AGRI 1407,,AGRI 1407,,,AGRI 1407,AGRI 1407,,,,,,AGRI 1407,,,,,,,,,,,,,WSES 1305,,,,,SCSC 105,PLS 115,,SCSC 105,PLSS 1407,,,,,,,,,,PSS 1321,,,AGRI 1407,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 1407,,,AGRI 1407,,,,
Horticulture (lecture + lab),AGRI,1415,,,,,,,,,,AGRI 1415,,AGRI 1415,,,,,,,,,,,,,,,,,,,,,,,AGRI 1415,,,,AGRI 1415,,,,,,,,,,,,,,,AGRI 1415,,,,,,,AGRI 1415,,AGRI 1415,,,AGRI 1415,AGRI 1415,,,,,,,,,AGRI 1415,,,,,,,,,,,,,,,HORT 201/202,PLS 120,,HORT 201 202,,,,,,,,,,,PSS 1411,,,AGRI 1415,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,AGRI 1415,,AGRI 1415,AGRI 1415,
Introductory Animal Science (lecture + lab),AGRI,1419,ANSC 111,,,,,,,,,AGRI 1419,,,,,,,,,,,,,,,,,,,,,,,,,AGRI 1419,,,,AGRI 1419,,,,,,,,,,,,,,,AGRI 1419,,,,,AGRI 1419,,AGRI 1419,,AGRI 1419,,,AGRI 1419,AGRI 1419,,,,,,,,,AGRI 1419,,,,AGRI 1419,,,,,ANSC 1419,,,,,,ANSC 107/108,ANS 118,,ANSC 107 108,ANSC 1419,,,,,,,,,AG 1445,ANSC 1401,,,AGRI 1419,,,,,,,,,GENE 1000,,,,,,,,,,,,AGR 403,,,AGRI 1419,,AGRI 1419,AGRI 1419,
Agricultural Power Units,AGRI,2301,,,,,,,,AGRI 2301,,AGRI 2301,AGRI 2301,,,,,,,,,,,,,,,,,,,,,,,AGRI 2301,AGRI 2301,,,,,,,,,,,,,,,,,,,AGRI 2301,,,,AGRI 2301,AGRI 2301,,,,,,AGRI 2301,AGRI 2301,,,AGRI 2301,AGRI 2301,,,,,,,,,,,,,,,,AGRI 2301,,,,,AGSM 201,,,AGSM 201,,,,,,,,,,,,,,AGRI 2301,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Agricultural Construction,AGRI,2303,,,,,,,,AGRI 2303,,,AGRI 2303,,,,,,,,,,,,,,,,,,,,,,,AGRI 2303,AGRI 2303,,,,,,,,,,,,,,,,,,,,,,,,AGRI 2303,,AGRI 2303,,,,,AGRI 2303,AGRI 2303,,,AGRI 2303,,,,,,,,,,AGRI 2303,,,,,,AGRI 2303,,,,,,,,,,,,,,,,,,AG 2373,,,,AGRI 2303,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,AGRI 2303,,,AGRI 2303,
Introduction to Agricultural Economics,AGRI,2317,,,,,AGEC 2317,,,AGRI 2317,,AGRI 2317,AGRI 2317,AGRI 2317,,,,,,,,,,,,,,,,,,,,AGRI 2317,,AGRI 2317,AGRI 2317,,,,AGRI 2317,,,,,,,,,,,,,,,AGRI 2317,,,,AGRI 2317,AGRI 2317,,AGRI 2317,,AGRI 2317,,AGRI 2317,AGRI 2317,AGRI 2317,,AGRI 2317,AGRI 2317,,,AGRI 2317,,,AGRI 2317,,,,AGRI 2317,,,,AEC 261,,AGEC 2317,,,,,AGEC 105,AEC 219,,AGEC 105,AGBU 2317,,,,,,,,,AG 2383,AAEC 2305,,,AGRI 2317,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 2317,,,AGRI 2317,AGBE 2317,AGRI 2317,AGRI 2317,
Livestock Evaluation,AGRI,2321,,,,,,,,AGRI 2321,,,AGRI 2321,AGRI 2321,,,,,,,,,,,,,,,,,,,,AGRI 2321,,AGRI 2321,AGRI 2321,,,,,,,,,,,,,,,,,,,AGRI 2321,,,,AGRI 2321,AGRI 2321,,AGRI 2321,,AGRI 2321,,AGRI 2321,AGRI 2321,AGRI 2321,,,AGRI 2321,,,AGRI 2321,,,AGRI 2321,,,,,,,,,,,,,,,,ANS 205,,,,,,,,,,,,,,,,AGRI 2321,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 2321,,,AGRI 2321,,AGRI 2321,,
Wildlife Conservation & Management,AGRI,2330,,,,,,,,AGRI 2330,,AGRI 2330,AGRI 2330,,,,,,,,,,,,,,,,,,,,,AGRI 2330,,AGRI 2330,AGRI 2330,,,,,,,,,,,,,,,,,,,AGRI 2330,,,,,AGRI 2330,,AGRI 2330,,AGRI 2330,,AGRI 2330,AGRI 2330,AGRI 2330,,AGRI 2330,,,,,,,AGRI 2330,,,,AGRI 2330,,,,,NRM 2330,AGRI 2330,,,,,,,,,RWSC 2330,,,,,,,,,,NRM 2301,,,AGRI 2330,,,,,,,,,GENE 1000,,,,,,,,,,,,AGRI 2330,,,AGRI 2330,,AGRI 2330,AGRI 2330,
Physical Anthropology (lab),ANTH,2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANTH 2101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOSCI 1999,,,,,,,,,,,,,,,,,,,
Academic Cooperative,ANTH,2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANTH 2289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOSCI 1000,,,,,,,,,,,,,,,,,,,
Physical Anthropology,ANTH,2301,ANTH 101,,,,,ANTH 2301,,ANTH 2301,,ANTH 2301,,,,,ANTH 2301,,,,,,,,,,,,,,,,,,,ANTH 2301,ANTH 2301,,,,ANTH 2301,,,,,,,,,ANTH 2301,,,,,,ANTH 2301,,ANTH 2301,,,,ANTH 2301,,ANTH 2301,,,,,,,,,ANTH 2301,,ANTH 2301,,,,ANTH 2301,,,,ANT35 003,,,,,,,ANTH 2301,,,,,,,ANTH 2303,,,ANTH 2301,,ANTH 2301,,,,,ANTH 2300,,,,,ANTH 2301,,ANTH 2301,,,,,SOSCI 1999,,,ANT 301,,,ANT 2033,,,,,,,,,ANTH 2301,,,,
Introduction to Archeology,ANTH,2302,,,ANTH 2302,,,ANTH 2302,,ANTH 2302,,ANTH 2302,,,,,ANTH 2302,,ANTH 2302,,,,,,,,,,ANTH 2302,,,,,,,ANTH 2302,ANTH 2302,,,,,,,,ANTH 2302,,,,,ANTH 2302,,,,,,,,ANTH 2302,,,ANTH 2302,ANTH 2302,,ANTH 2302,,,,,,,,,ANTH 2302,,ANTH 2302,,,,ANTH 2302,,,,ANT35 003,,,,ANTH 1302,,ANTH 2302,ANTH 2302,,ANTH 2302,ANTH 202,,,ANTH 202,ANTH 2301,,,,,,,,,,ANTH 2301,,,,,ANTH 2303,,,,,,ANTH 2500,SOSCI 1999,ANTH 2302,ANTH 2339,ANT 304,,,ANT 2043,,,,,,,,,ANTH 2302,,,,
General Anthropology,ANTH,2346,ANTH 101,,ANTH 2346,,,,ANT 1305,ANTH 2346,,ANTH 2346,ANTH 2346,,,ANTH 2346,ANTH 2346,,ANTH 2346,,,,,,,,ANTH 310,,ANTH 2346,,,,,,,ANTH 2346,ANTH 2346,,,,,,,,ANTH 2346,ANTH 2346,,,,ANTH 2346,,,,,,ANTH 2346,,,,ANTH 2346,ANTH 2346,ANTH 2346,,ANTH 2346,,,,,,,ANTH 2346,,ANTH 2346,,ANTH 2346,,,ANTH 2346,ANTH 2346,,,ANTH 2346,ANT35 003,,,,,,ANTH 2346,ANTH 2346,,ANTH 2346,ANTH 201,,,ANTH 201,ANTH 2302,,,,,ANTH 2346,,,,,,,,,,ANTH 1300,ANTH 2346,,ANTH 2346,,ANTH 1010,ANTH 1010,SOSCI 1999,,ANTH 1306,,,ANTH 1301,ANT 1013,ANTH 2346,,,,,,,,ANTH 2346,,,,
Cultural Anthropology,ANTH,2351,ANTH 101,,ANTH 2351,,,ANTH 2351,,ANTH 2351,ANTH 2351,ANTH 2351,ANTH 2351,,,ANTH 2351,ANTH 2351,,ANTH 2351,,,,,,,,,,ANTH 2351,,,,,,,ANTH 2351,ANTH 2351,,,,ANTH 2351,,,,ANTH 2351,ANTH 2351,,,,ANTH 2351,,,,,,ANTH 2351,,ANTH 2351,,,ANTH 2351,ANTH 2351,ANTH 2351,ANTH 2351,,ANTH 2351,,,ANTH 2351,,,,ANTH 2351,,ANTH 2351,,,ANTH 2351,ANTH 2351,,,,ANT35 003,,,ANT 231,ANTH 1301,ANTH 2351,ANTH 2351,ANTH 2351,,,ANTH 210,ANTH 2351,,ANTH 210,,,,ANTH 2351,,,,,,ANTH 1312,ANTH 2302,,,,,ANTH 2302,,ANTH 2302,,,ANTH 2300,,SOCI 2333,ANTH 2351,ANTH 2322,ANT 302,,ANTH 1302,ANT 2053,,,,,ANTH 1311,,,,ANTH 2351,ANTH 2351,,ANTH 2351,ANTH 2321
Academic Cooperative,ANTH,2389,,,,,,ANTH 2389,,ANTH 2389,,,,,,,ANTH 2389,,ANTH 2389,,,,,,,,,,,,,,,,,ANTH 2389,,,,,,,,,,,,,,ANTH 2389,,,,,,ANTH 2389,,ANTH 2389,,,,,,,,,,,,,,,,,,,,ANTH 2389,,,,,,,,,,,,ANTH 2389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,SOSCI 1000,,,,,,,,,,,,,,,ANTH 2389,,,,
Physical Anthropology (lecture + lab),ANTH,2401,,,,,,,,,,,,,,,,,ANTH 2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANTH 2401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ANT35 004,,,ANT 248,,,,,,,,,,,,,,,,,,,,ANTH 2414,,,,,,,,,,,ANTH 2700,,SOSCI 1999,,,ANT 401,,,,,,,,,,,,,,,,ANTH 2400
Beginning Arabic I,ARAB,1411,,,,,,,ARB 1401,,,ARAB 1411,,,,,ARAB 1411,,ARAB 1411,,,,,,,,,,,,,,,,,ARAB 1411,,,,,,,,,,,,,,ARAB 1411,,,,,,,,,,,,,,ARAB 1411,,,,,,,,,ARAB 1411,,,,,,,,,,FLN21 144,,,,,,,,,ARAB 1311,ARAB 101,,,ARAB 101,,,,,,,,,,ARAB 1410,ARAB 1501,,,,,,,,,,ARBC 1010,,ARAB 1331,,ARAB 1441,ARA 406,,,ARA 1014,,,,,,,,,,,,,
Beginning Arabic II,ARAB,1412,,,,,,,ARB 1402,,,ARAB 1412,,,,,ARAB 1412,,ARAB 1412,,,,,,,,,,,,,,,,,ARAB 1412,,,,,,,,,,,,,,ARAB 1412,,,,,,,,,,,,,,ARAB 1412,,,,,,,,,ARAB 1412,,,,,,,,,,FLN21 154,,,,,,,,,ARAB 1312,ARAB 102,,,ARAB 102,,,,,,,,,,ARAB 1420,ARAB 1502,,,,,,,,,,ARBC 1020,,ARAB 1332,,ARAB 1442,ARA 407,,,ARA 1024,,,,,,,,,,,,,
Intermediate Arabic I,ARAB,2311,,,,,,ARAB 2311,,,,ARAB 2311,,,,,,,ARAB 2311,,,,,,,,,,,,,,,,,ARAB 2311,,,,,,,,,,,,,,ARAB 2311,,,,,,,,,,,,,,,,,,,,,,,ARAB 2311,,,,,,,,,,FLN21 164,,,,,,,,,,ARAB 201,,,ARAB 201,,,,,,,,,,ARAB 2310,ARAB 2301,,,,,,,,,,ARBC 2040,,LANG 1999,,ARAB 2313,ARA 312K,ARAB 2311,,ARA 2013,,,,,,,,,,,,,
Intermediate Arabic II,ARAB,2312,,,,,,ARAB 2312,,,,ARAB 2312,,,,,,,ARAB 2312,,,,,,,,,,,,,,,,,ARAB 2312,,,,,,,,,,,,,,ARAB 2312,,,,,,,,,,,,,,,,,,,,,,,ARAB 2312,,,,,,,,,,FLN21 174,,,,,,,,,,ARAB 202,,,ARAB 202,,,,,,,,,,ARAB 2320,ARAB 2302,,,,,,,,,,ARBC 2050,,LANG 1999,,ARAB 2314,ARA 312L,ARAB 2312,,ARA 2023,,,,,,,,,,,,,
Architectural History I,ARCH,1301,,,,,,,,ARCH 1301,,,,,,,,,ARCH 1301,,,,,,,,ARCH 1301,,ARCH 1301,,,,,,,,,,,,,,,,,,ARCH 1301,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1301,,,,,,,,,,,,,,,,ARCH 1301,,,,ARCH 249,,,ARCH 249,,,,ARCH 1301,,,,,,,ARCH 2311,,,,,,,,,,,,GENE 1000,,,ARC 318K,,,ARC 2413,,,,,,,,,,,,,
Architectural History II,ARCH,1302,,,,,,,,ARCH 1302,,,,,,,,,ARCH 1302,,,,,,,,ARCH 1302,,ARCH 1302,,,,,,,,,,,,,,,,,,ARCH 1302,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1302,,,,,,,,,,,,,,,,ARCH 1302,,,,ARCH 250,,,ARCH 250,,,,ARCH 1302,,,,,,,ARCH 2315,,,,,,,,,,,,GENE 1000,,,ARC 318L,,,ARC 2423,,,,,,,,,,,,,
Architectural Design I,ARCH,1303,,,,,,,,ARCH 1303,,,,,,,,,ARCH 1303,,,,,,,,,,ARCH 1303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1303,,,,,,,,,,,,,,,,ARCH 1303,,,,,,,,,,,,,,,,,,ARCH 1412,,,,,,,,,,,,GENE 1000,,,,,,ARC 1213,,,,,INTD 1355,,,,,,,,
Architectural Design II,ARCH,1304,,,,,,,,ARCH 1304,,,,,,,,,ARCH 1304,,,,,,,,,,ARCH 1304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1304,,,,,,,,,,,,,,,,ARCH 1304,,,,,,,,,,,,,,,,,,ARCH 1412,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
Architectural Graphics I,ARCH,1307,,,,,,,,ARCH 1307,,,,,,,,,ARCH 1307,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1307,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1307,,,,,,,,,,,,,,,,ARCH 1307,,,,ENDS 115,,,ENDS 115,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,INTD 2363,,,,,,,,
Architectural Graphics II,ARCH,1308,,,,,,,,ARCH 1308,,,,,,,,,ARCH 1308,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ARCH 1308,,,,,,,,,,,,,,,,ARCH 1308,,,,ENDS 116,,,ENDS 116,,,,,,,,,,,,,,,,,,,,,,,GENE 1000,,,,,,,,,,,,,,,,,,,
